# 2theta, Intensity
1.000000000000000000e+01,2.774072658305189176e-02
1.001999999999999957e+01,2.784191158121371648e-02
1.003999999999999915e+01,2.794377657842352439e-02
1.005999999999999872e+01,2.804632913947682771e-02
1.007999999999999829e+01,2.814957695786857172e-02
1.009999999999999787e+01,2.825352785882263157e-02
1.011999999999999744e+01,2.835818980241121626e-02
1.013999999999999702e+01,2.846357088676762861e-02
1.015999999999999659e+01,2.856967935139573603e-02
1.017999999999999616e+01,2.867652358057930576e-02
1.019999999999999574e+01,2.878411210689529529e-02
1.021999999999999531e+01,2.889245361483419941e-02
1.023999999999999488e+01,2.900155694453195390e-02
1.025999999999999446e+01,2.911143109561723646e-02
1.027999999999999403e+01,2.922208523117804033e-02
1.029999999999999361e+01,2.933352868185272119e-02
1.031999999999999318e+01,2.944577095004919515e-02
1.033999999999999275e+01,2.955882171429783170e-02
1.035999999999999233e+01,2.967269083374254532e-02
1.037999999999999190e+01,2.978738835277555327e-02
1.039999999999999147e+01,2.990292450582119482e-02
1.041999999999999105e+01,3.001930972227431424e-02
1.043999999999999062e+01,3.013655463159924108e-02
1.045999999999999019e+01,3.025467006859580352e-02
1.047999999999998977e+01,3.037366707883817907e-02
1.049999999999998934e+01,3.049355692429379233e-02
1.051999999999998892e+01,3.061435108912948996e-02
1.053999999999998849e+01,3.073606128571157101e-02
1.055999999999998806e+01,3.085869946080806170e-02
1.057999999999998764e+01,3.098227780200091264e-02
1.059999999999998721e+01,3.110680874431663925e-02
1.061999999999998678e+01,3.123230497708392658e-02
1.063999999999998636e+01,3.135877945102767683e-02
1.065999999999998593e+01,3.148624538560895747e-02
1.067999999999998550e+01,3.161471627662074818e-02
1.069999999999998508e+01,3.174420590405008236e-02
1.071999999999998465e+01,3.187472834021781720e-02
1.073999999999998423e+01,3.200629795820699591e-02
1.075999999999998380e+01,3.213892944059230233e-02
1.077999999999998337e+01,3.227263778848321607e-02
1.079999999999998295e+01,3.240743833089373277e-02
1.081999999999998252e+01,3.254334673445277715e-02
1.083999999999998209e+01,3.268037901347008861e-02
1.085999999999998167e+01,3.281855154037218586e-02
1.087999999999998124e+01,3.295788105652501521e-02
1.089999999999998082e+01,3.309838468345954743e-02
1.091999999999998039e+01,3.324007993451850995e-02
1.093999999999997996e+01,3.338298472694203878e-02
1.095999999999997954e+01,3.352711739441240762e-02
1.097999999999997911e+01,3.367249670007738116e-02
1.099999999999997868e+01,3.381914185007441759e-02
1.101999999999997826e+01,3.396707250757759200e-02
1.103999999999997783e+01,3.411630880739140170e-02
1.105999999999997740e+01,3.426687137111589926e-02
1.107999999999997698e+01,3.441878132290933368e-02
1.109999999999997655e+01,3.457206030587656881e-02
1.111999999999997613e+01,3.472673049911107618e-02
1.113999999999997570e+01,3.488281463542163008e-02
1.115999999999997527e+01,3.504033601977627616e-02
1.117999999999997485e+01,3.519931854849648462e-02
1.119999999999997442e+01,3.535978672923756339e-02
1.121999999999997399e+01,3.552176570179290532e-02
1.123999999999997357e+01,3.568528125976200283e-02
1.125999999999997314e+01,3.585035987312316236e-02
1.127999999999997272e+01,3.601702871175597315e-02
1.129999999999997229e+01,3.618531566995942389e-02
1.131999999999997186e+01,3.635524939201466299e-02
1.133999999999997144e+01,3.652685929884538080e-02
1.135999999999997101e+01,3.670017561582882698e-02
1.137999999999997058e+01,3.687522940181704040e-02
1.139999999999997016e+01,3.705205257942874308e-02
1.141999999999996973e+01,3.723067796667634682e-02
1.143999999999996930e+01,3.741113930999765552e-02
1.145999999999996888e+01,3.759347131876321357e-02
1.147999999999996845e+01,3.777770970133768891e-02
1.149999999999996803e+01,3.796389120277549045e-02
1.151999999999996760e+01,3.815205364423671780e-02
1.153999999999996717e+01,3.834223596421571650e-02
1.155999999999996675e+01,3.853447826167769041e-02
1.157999999999996632e+01,3.872882184120701038e-02
1.159999999999996589e+01,3.892530926027586158e-02
1.161999999999996547e+01,3.912398437874858859e-02
1.163999999999996504e+01,3.932489241074477865e-02
1.165999999999996461e+01,3.952807997899168008e-02
1.167999999999996419e+01,3.973359517180432426e-02
1.169999999999996376e+01,3.994148760284055993e-02
1.171999999999996334e+01,4.015180847378899825e-02
1.173999999999996291e+01,4.036461064015479938e-02
1.175999999999996248e+01,4.057994868032301083e-02
1.177999999999996206e+01,4.079787896808725889e-02
1.179999999999996163e+01,4.101845974884610335e-02
