# 2theta, Intensity
1.000000000000000000e+01,6.917525423487415163e-03
1.001999999999999957e+01,6.935046037925981198e-03
1.003999999999999915e+01,6.952659024112507052e-03
1.005999999999999872e+01,6.970365173756958542e-03
1.007999999999999829e+01,6.988165287841973522e-03
1.009999999999999787e+01,7.006060176757899702e-03
1.011999999999999744e+01,7.024050660440174336e-03
1.013999999999999702e+01,7.042137568509052731e-03
1.015999999999999659e+01,7.060321740411787915e-03
1.017999999999999616e+01,7.078604025567244128e-03
1.019999999999999574e+01,7.096985283513075962e-03
1.021999999999999531e+01,7.115466384055425461e-03
1.023999999999999488e+01,7.134048207421281144e-03
1.025999999999999446e+01,7.152731644413483358e-03
1.027999999999999403e+01,7.171517596568487835e-03
1.029999999999999361e+01,7.190406976316875316e-03
1.031999999999999318e+01,7.209400707146730418e-03
1.033999999999999275e+01,7.228499723769889716e-03
1.035999999999999233e+01,7.247704972291197853e-03
1.037999999999999190e+01,7.267017410380714401e-03
1.039999999999999147e+01,7.286438007449038030e-03
1.041999999999999105e+01,7.305967744825776593e-03
1.043999999999999062e+01,7.325607615941204763e-03
1.045999999999999019e+01,7.345358626511209847e-03
1.047999999999998977e+01,7.365221794725565659e-03
1.049999999999998934e+01,7.385198151439629870e-03
1.051999999999998892e+01,7.405288740369510812e-03
1.053999999999998849e+01,7.425494618290800000e-03
1.055999999999998806e+01,7.445816855240929358e-03
1.057999999999998764e+01,7.466256534725216470e-03
1.059999999999998721e+01,7.486814753926732298e-03
1.061999999999998678e+01,7.507492623919980075e-03
1.063999999999998636e+01,7.528291269888576220e-03
1.065999999999998593e+01,7.549211831346891617e-03
1.067999999999998550e+01,7.570255462365877049e-03
1.069999999999998508e+01,7.591423331803043295e-03
1.071999999999998465e+01,7.612716623536743346e-03
1.073999999999998423e+01,7.634136536704841727e-03
1.075999999999998380e+01,7.655684285947874160e-03
1.077999999999998337e+01,7.677361101656751327e-03
1.079999999999998295e+01,7.699168230225168948e-03
1.081999999999998252e+01,7.721106934306764917e-03
1.083999999999998209e+01,7.743178493077167504e-03
1.085999999999998167e+01,7.765384202501049091e-03
1.087999999999998124e+01,7.787725375604223621e-03
1.089999999999998082e+01,7.810203342750996792e-03
1.091999999999998039e+01,7.832819451926823634e-03
1.093999999999997996e+01,7.855575069026383625e-03
1.095999999999997954e+01,7.878471578147227747e-03
1.097999999999997911e+01,7.901510381889138845e-03
1.099999999999997868e+01,7.924692901659225255e-03
1.101999999999997826e+01,7.948020577983022639e-03
1.103999999999997783e+01,7.971494870821622253e-03
1.105999999999997740e+01,7.995117259895032080e-03
1.107999999999997698e+01,8.018889245011847147e-03
1.109999999999997655e+01,8.042812346405468424e-03
1.111999999999997613e+01,8.066888105076880713e-03
1.113999999999997570e+01,8.091118083144272291e-03
1.115999999999997527e+01,8.115503864199581294e-03
1.117999999999997485e+01,8.140047053672121516e-03
1.119999999999997442e+01,8.164749279199488841e-03
1.121999999999997399e+01,8.189612191005909633e-03
1.123999999999997357e+01,8.214637462288121306e-03
1.125999999999997314e+01,8.239826789609105973e-03
1.127999999999997272e+01,8.265181893299730978e-03
1.129999999999997229e+01,8.290704517868540888e-03
1.131999999999997186e+01,8.316396432419858806e-03
1.133999999999997144e+01,8.342259431080457227e-03
1.135999999999997101e+01,8.368295333434881689e-03
1.137999999999997058e+01,8.394505984969753351e-03
1.139999999999997016e+01,8.420893257527197959e-03
1.141999999999996973e+01,8.447459049767600675e-03
1.143999999999996930e+01,8.474205287641962611e-03
1.145999999999996888e+01,8.501133924874046399e-03
1.147999999999996845e+01,8.528246943452572754e-03
1.149999999999996803e+01,8.555546354133650166e-03
1.151999999999996760e+01,8.583034196953782946e-03
1.153999999999996717e+01,8.610712541753608520e-03
1.155999999999996675e+01,8.638583488712679725e-03
1.157999999999996632e+01,8.666649168895573102e-03
1.159999999999996589e+01,8.694911744809534840e-03
1.161999999999996547e+01,8.723373410974019984e-03
1.163999999999996504e+01,8.752036394502333075e-03
1.165999999999996461e+01,8.780902955695763998e-03
1.167999999999996419e+01,8.809975388650451503e-03
1.169999999999996376e+01,8.839256021877300515e-03
1.171999999999996334e+01,8.868747218935296717e-03
1.173999999999996291e+01,8.898451379078551465e-03
1.175999999999996248e+01,8.928370937917396236e-03
1.177999999999996206e+01,8.958508368093899554e-03
1.179999999999996163e+01,8.988866179972123879e-03
1.181999999999996120e+01,9.019446922343563044e-03
1.183999999999996078e+01,9.050253183148124561e-03
1.185999999999996035e+01,9.081287590210946475e-03
1.187999999999995993e+01,9.112552811995624710e-03
1.189999999999995950e+01,9.144051558374130181e-03
1.191999999999995907e+01,9.175786581413908349e-03
1.193999999999995865e+01,9.207760676182577542e-03
1.195999999999995822e+01,9.239976681570645847e-03
1.197999999999995779e+01,9.272437481132836390e-03
1.199999999999995737e+01,9.305146003948317618e-03
1.201999999999995694e+01,9.338105225500492601e-03
1.203999999999995651e+01,9.371318168576756730e-03
1.205999999999995609e+01,9.404787904188784131e-03
1.207999999999995566e+01,9.438517552513856282e-03
1.209999999999995524e+01,9.472510283857852112e-03
1.211999999999995481e+01,9.506769319640367977e-03
1.213999999999995438e+01,9.541297933402616283e-03
1.215999999999995396e+01,9.576099451838744614e-03
1.217999999999995353e+01,9.611177255851083637e-03
1.219999999999995310e+01,9.646534781630087055e-03
1.221999999999995268e+01,9.682175521759504855e-03
1.223999999999995225e+01,9.718103026347629445e-03
1.225999999999995183e+01,9.754320904185138572e-03
1.227999999999995140e+01,9.790832823930371159e-03
1.229999999999995097e+01,9.827642515322743827e-03
1.231999999999995055e+01,9.864753770425093923e-03
1.233999999999995012e+01,9.902170444895714088e-03
1.235999999999994969e+01,9.939896459290909272e-03
1.237999999999994927e+01,9.977935800398929703e-03
1.239999999999994884e+01,1.001629252260609511e-02
1.241999999999994841e+01,1.005497074929610421e-02
1.243999999999994799e+01,1.009397467428331877e-02
1.245999999999994756e+01,1.013330856328107515e-02
1.247999999999994714e+01,1.017297675540600535e-02
1.249999999999994671e+01,1.021298366471928842e-02
1.251999999999994628e+01,1.025333378180596187e-02
1.253999999999994586e+01,1.029403167539336486e-02
1.255999999999994543e+01,1.033508199400973854e-02
1.257999999999994500e+01,1.037648946768430884e-02
1.259999999999994458e+01,1.041825890968979020e-02
1.261999999999994415e+01,1.046039521832877774e-02
1.263999999999994373e+01,1.050290337876512783e-02
1.265999999999994330e+01,1.054578846490168524e-02
1.267999999999994287e+01,1.058905564130571859e-02
1.269999999999994245e+01,1.063271016518345033e-02
1.271999999999994202e+01,1.067675738840503930e-02
1.273999999999994159e+01,1.072120275958166231e-02
1.275999999999994117e+01,1.076605182619607727e-02
1.277999999999994074e+01,1.081131023678828969e-02
1.279999999999994031e+01,1.085698374319802803e-02
1.281999999999993989e+01,1.090307820286563756e-02
1.283999999999993946e+01,1.094959958119319163e-02
1.285999999999993904e+01,1.099655395396757773e-02
1.287999999999993861e+01,1.104394750984752545e-02
1.289999999999993818e+01,1.109178655291636131e-02
1.291999999999993776e+01,1.114007750530267987e-02
1.293999999999993733e+01,1.118882690987077662e-02
1.295999999999993690e+01,1.123804143298321248e-02
1.297999999999993648e+01,1.128772786733751518e-02
1.299999999999993605e+01,1.133789313487947557e-02
1.301999999999993562e+01,1.138854428979530105e-02
1.303999999999993520e+01,1.143968852158513960e-02
1.305999999999993477e+01,1.149133315822043616e-02
1.307999999999993435e+01,1.154348566938787415e-02
1.309999999999993392e+01,1.159615366982251483e-02
